Company,Category,Description
Cajal,AI & Machine Learning,Formal verification for scientific discovery using AI mathematicians (Lean framework)
Synthetic Sciences,AI & Machine Learning,"Claude Code for Science - raised $1.9M pre-YC, Harvard/MIT founders"
Corvera,AI & Machine Learning,AI ops workforce for CPG brands - 40% profit increase
Cardinal,AI & Machine Learning,AI precision outbound platform serving 40+ YC companies
Beacon Health,Healthcare / AI,AI agents for primary care/value-based care - largest healthcare raise in batch
Latent,Healthcare / AI,Medical language models for healthcare ops and drug authorizations
Lightberry,AI & Machine Learning,Brains for robots - emotional AI for robotics (works with Unitree)
End Close,AI & Machine Learning,AI ops agent for financial reconciliation and issue resolution
Manufact,Developer Tools & Infrastructure,Open-source MCP dev tools (5M+ downloads; 9K GitHub stars)
Sparkles,Developer Tools & Infrastructure,Safe online dev environment for non-technical teams to create PRs
Mendral,Developer Tools & Infrastructure,AI DevOps Engineer for CI failures; flaky tests; and code reviews
Castari,Developer Tools & Infrastructure,Secure autoscaling sandboxes for AI agents with one command
Modelence,Developer Tools & Infrastructure,Production-ready agentic development platform
Hyperspell,Developer Tools & Infrastructure,Memory layer for AI agents connecting to Slack; Gmail; Notion; Drive
Moda,Developer Tools & Infrastructure,Monitoring & analytics for agent hallucinations and tool call failures
Sentrial,Developer Tools & Infrastructure,Observability platform for AI agents in production
Compresr,Developer Tools & Infrastructure,API that compresses LLM context without losing what matters
Chamber,Developer Tools & Infrastructure,Puts AI infrastructure on autopilot
Corelayer,Developer Tools & Infrastructure,AI agents for on-call support in data-heavy industries (ex-Goldman Sachs)
Syntropy,Developer Tools & Infrastructure,Uses E2B for agentic code execution and test generation
Nivara,Developer Tools & Infrastructure,Visibility into how humans and AI build together for engineering leaders
Orthogonal,Developer Tools & Infrastructure,Instant access to hundreds of APIs through MCP or SDK
Hyperbrowser.ai,Developer Tools & Infrastructure,Internet infrastructure for AI agents with CAPTCHA solving and proxy management
Metalware,Security,Firmware security for critical infrastructure (aerospace; defense; automotive)
Corgea,Security,Autonomous AppSec with auto-fix (used by Zapier; Yageo)
Veria Labs,Security,AI hackers from #1 US competitive hacking team
Tinfoil,Security,Provably private AI workloads on NVIDIA GPUs with confidential computing
ContextFort,Security,Security controls for AI browser agents via Chrome extension
Kestrel,Security,AI-native self-healing cloud incident response platform
Better Auth,Security,Comprehensive TypeScript authentication framework
Roundtable,Security,Proof of Human API detecting bots - founded by Princeton cognitive scientists
Pangolin,Security / Infrastructure,Open-source identity-based remote access platform on WireGuard
Finic,Fintech,Financial crime detection automation for fraud ops and AML teams
Fenrock,Fintech,AI agents for financial crime compliance for banks and fintechs
Alguna,Fintech,Quote-to-cash automation for B2B SaaS
Veles,Fintech,Free billing infrastructure for YC W26 batch
HLabs,Robotics & Hardware,Industrial supply chain for building robots in USA (2nd time YC founder)
Pocket,Robotics & Hardware,Hardware startup - 30K+ units shipped; 50% MoM growth (Series B traction)
GrazeMate,Robotics & Hardware,Autonomous cattle-herding drones with weight estimation and health monitoring
Remy AI,Robotics & Hardware,Flexible warehouse automation for high-dexterity tasks
Tensr,Robotics & Hardware,Fully autonomous robotic factories (Berkeley robotics researchers)
One Robot,Robotics & Hardware,Simulation environments for robotics training and evaluation
Icarus,Deep Tech & Space,Solar-powered aircraft at 60K feet for weeks (modern U-2 spy plane)
Terranox,Deep Tech & Space,AI-powered uranium exploration using 70+ years of data
Captain,B2B,Garry Tan's personal coaching pick with direct CEO involvement
Perfectly,B2B / AI,AI-native recruiting agency
EigenPal,B2B / AI,AI document workflow automation
Arcline,B2B / AI,AI-powered legal services for startups
ramAIn,B2B / AI,AI-driven GUI automation for desktop applications
